Comment,Id,Language_Type,Part1,Part2b,Part2t,Ref_Name,Scope
,adi,L,,,,Adi,I
,adj,L,,,,Adioukrou,I
,adl,L,,,,Galo,I
,adn,L,,,,Adang,I
,ado,L,,,,Abu,I
,adq,L,,,,Adangbe,I
,adr,L,,,,Adonara,I
,ads,L,,,,Adamorobe Sign Language,I
,adt,L,,,,Adnyamathanha,I
,adu,L,,,,Aduge,I
,adw,L,,,,Amundava,I
,adx,L,,,,Amdo Tibetan,I
,ady,L,,ady,ady,Adyghe,I
,adz,L,,,,Adzera,I
,aea,E,,,,Areba,I
,aeb,L,,,,Tunisian Arabic,I
,aec,L,,,,Saidi Arabic,I
,aed,L,,,,Argentine Sign Language,I
,aee,L,,,,Northeast Pashai,I
,aek,L,,,,Haeke,I
,ael,L,,,,Ambele,I
,aem,L,,,,Arem,I
,aen,L,,,,Armenian Sign Language,I
,aeq,L,,,,Aer,I
,aer,L,,,,Eastern Arrernte,I
,aes,E,,,,Alsea,I
,aeu,L,,,,Akeu,I
,aew,L,,,,Ambakich,I
,aey,L,,,,Amele,I
,aez,L,,,,Aeka,I
,afb,L,,,,Gulf Arabic,I
,afd,L,,,,Andai,I
,afe,L,,,,Putukwam,I
,afg,L,,,,Afghan Sign Language,I
,afh,C,,afh,afh,Afrihili,I
,afi,L,,,,Akrukay,I
,afk,L,,,,Nanubae,I
,afn,L,,,,Defaka,I
,afo,L,,,,Eloyi,I
,afp,L,,,,Tapei,I
,afr,L,af,afr,afr,Afrikaans,I
,afs,L,,,,Afro-Seminole Creole,I
,aft,L,,,,Afitti,I
,afu,L,,,,Awutu,I
,afz,L,,,,Obokuitai,I
,aga,E,,,,Aguano,I
,agb,L,,,,Legbo,I
,agc,L,,,,Agatu,I
,agd,L,,,,Agarabi,I
,age,L,,,,Angal,I
,agf,L,,,,Arguni,I
,agg,L,,,,Angor,I
,agh,L,,,,Ngelima,I
,agi,L,,,,Agariya,I
,agj,L,,,,Argobba,I
,agk,L,,,,Isarog Agta,I
,agl,L,,,,Fembe,I
,agm,L,,,,Angaataha,I
,agn,L,,,,Agutaynen,I
,ago,L,,,,Tainae,I
,agq,L,,,,Aghem,I
,agr,L,,,,Aguaruna,I
,ags,L,,,,Esimbi,I
,agt,L,,,,Central Cagayan Agta,I
,agu,L,,,,Aguacateco,I
,agv,L,,,,Remontado Dumagat,I
,agw,L,,,,Kahua,I
,agx,L,,,,Aghul,I
,agy,L,,,,Southern Alta,I
,agz,L,,,,Mt. Iriga Agta,I
,aha,L,,,,Ahanta,I
,ahb,L,,,,Axamb,I
,ahg,L,,,,Qimant,I
,ahh,L,,,,Aghu,I
,ahi,L,,,,Tiagbamrin Aizi,I
,ahk,L,,,,Akha,I
,ahl,L,,,,Igo,I
,ahm,L,,,,Mobumrin Aizi,I
,ahn,L,,,,Àhàn,I
,aho,E,,,,Ahom,I
,ahp,L,,,,Aproumu Aizi,I
,ahr,L,,,,Ahirani,I
,ahs,L,,,,Ashe,I
,aht,L,,,,Ahtena,I
,aia,L,,,,Arosi,I
,aib,L,,,,Ainu (China),I
,aic,L,,,,Ainbai,I
,aid,E,,,,Alngith,I
,aie,L,,,,Amara,I
,aif,L,,,,Agi,I
,aig,L,,,,Antigua and Barbuda Creole English,I
,aih,L,,,,Ai-Cham,I
,aii,L,,,,Assyrian Neo-Aramaic,I
,aij,L,,,,Lishanid Noshan,I
,aik,L,,,,Ake,I
,ail,L,,,,Aimele,I
,aim,L,,,,Aimol,I
,ain,L,,ain,ain,Ainu (Japan),I
,aio,L,,,,Aiton,I
,aip,L,,,,Burumakok,I
,aiq,L,,,,Aimaq,I
,air,L,,,,Airoran,I
,ait,E,,,,Arikem,I
,aiw,L,,,,Aari,I
,aix,L,,,,Aighon,I
,aiy,L,,,,Ali,I
,aja,L,,,,Aja (South Sudan),I
,ajg,L,,,,Aja (Benin),I
,aji,L,,,,Ajië,I
,ajn,L,,,,Andajin,I
,ajs,L,,,,Algerian Jewish Sign Language,I
,aju,L,,,,Judeo-Moroccan Arabic,I
,ajw,E,,,,Ajawa,I
,ajz,L,,,,Amri Karbi,I
,aka,L,ak,aka,aka,Akan,M
,akb,L,,,,Batak Angkola,I
,akc,L,,,,Mpur,I
,akd,L,,,,Ukpet-Ehom,I
,ake,L,,,,Akawaio,I
,akf,L,,,,Akpa,I
,akg,L,,,,Anakalangu,I
,akh,L,,,,Angal Heneng,I
,aki,L,,,,Aiome,I
,akj,E,,,,Aka-Jeru,I
,akk,H,,akk,akk,Akkadian,I
,akl,L,,,,Aklanon,I
,akm,E,,,,Aka-Bo,I
,ako,L,,,,Akurio,I
,akp,L,,,,Siwu,I
,akq,L,,,,Ak,I
,akr,L,,,,Araki,I
,aks,L,,,,Akaselem,I
,akt,L,,,,Akolet,I
,aku,L,,,,Akum,I
,akv,L,,,,Akhvakh,I
,akw,L,,,,Akwa,I
,akx,E,,,,Aka-Kede,I
,aky,E,,,,Aka-Kol,I
,akz,L,,,,Alabama,I
,ala,L,,,,Alago,I
,alc,L,,,,Qawasqar,I
,ald,L,,,,Alladian,I
,ale,L,,ale,ale,Aleut,I
,alf,L,,,,Alege,I
,alh,L,,,,Alawa,I
,ali,L,,,,Amaimon,I
,alj,L,,,,Alangan,I
,alk,L,,,,Alak,I
,all,L,,,,Allar,I
,alm,L,,,,Amblong,I
,aln,L,,,,Gheg Albanian,I
,alo,L,,,,Larike-Wakasihu,I
,alp,L,,,,Alune,I
,alq,L,,,,Algonquin,I
,alr,L,,,,Alutor,I
,als,L,,,,Tosk Albanian,I
,alt,L,,alt,alt,Southern Altai,I
,alu,L,,,,'Are'are,I
,alw,L,,,,Alaba-K’abeena,I
,alx,L,,,,Amol,I
,aly,L,,,,Alyawarr,I
,alz,L,,,,Alur,I
,ama,E,,,,Amanayé,I
,amb,L,,,,Ambo,I
,amc,L,,,,Amahuaca,I
,ame,L,,,,Yanesha',I
,amf,L,,,,Hamer-Banna,I
,amg,L,,,,Amurdak,I
,amh,L,am,amh,amh,Amharic,I
,ami,L,,,,Amis,I
,amj,L,,,,Amdang,I
,amk,L,,,,Ambai,I
,aml,L,,,,War-Jaintia,I
,amm,L,,,,Ama (Papua New Guinea),I
,amn,L,,,,Amanab,I
,amo,L,,,,Amo,I
,amp,L,,,,Alamblak,I
,amq,L,,,,Amahai,I
,amr,L,,,,Amarakaeri,I
,ams,L,,,,Southern Amami-Oshima,I
,amt,L,,,,Amto,I
,amu,L,,,,Guerrero Amuzgo,I
,amv,L,,,,Ambelau,I
,amw,L,,,,Western Neo-Aramaic,I
,amx,L,,,,Anmatyerre,I
,amy,L,,,,Ami,I
,amz,E,,,,Atampaya,I
,ana,E,,,,Andaqui,I
,anb,E,,,,Andoa,I
,anc,L,,,,Ngas,I
,and,L,,,,Ansus,I
,ane,L,,,,Xârâcùù,I
,anf,L,,,,Animere,I
,ang,H,,ang,ang,Old English (ca. 450-1100),I
,anh,L,,,,Nend,I
,ani,L,,,,Andi,I
,anj,L,,,,Anor,I
,ank,L,,,,Goemai,I
,anl,L,,,,Anu-Hkongso Chin,I
,anm,L,,,,Anal,I
,ann,L,,,,Obolo,I
,ano,L,,,,Andoque,I
,anp,L,,anp,anp,Angika,I
,anq,L,,,,Jarawa (India),I
,anr,L,,,,Andh,I
,ans,E,,,,Anserma,I
,ant,L,,,,Antakarinya,I
,anu,L,,,,Anuak,I
,anv,L,,,,Denya,I
,anw,L,,,,Anaang,I
,anx,L,,,,Andra-Hus,I
,any,L,,,,Anyin,I
,anz,L,,,,Anem,I
,aoa,L,,,,Angolar,I
,aob,L,,,,Abom,I
,aoc,L,,,,Pemon,I
,aod,L,,,,Andarum,I
,aoe,L,,,,Angal Enen,I
,aof,L,,,,Bragat,I
,aog,L,,,,Angoram,I
,aoi,L,,,,Anindilyakwa,I
,aoj,L,,,,Mufian,I
,aok,L,,,,Arhö,I
,aol,L,,,,Alor,I
,aom,L,,,,Ömie,I
,aon,L,,,,Bumbita Arapesh,I
,aor,E,,,,Aore,I
,aos,L,,,,Taikat,I
,aot,L,,,,Atong (India),I
,aou,L,,,,A'ou,I
,aox,L,,,,Atorada,I
,aoz,L,,,,Uab Meto,I
,apb,L,,,,Sa'a,I
,apc,L,,,,Levantine Arabic,I
,apd,L,,,,Sudanese Arabic,I
,ape,L,,,,Bukiyip,I
,apf,L,,,,Pahanan Agta,I
,apg,L,,,,Ampanang,I
,aph,L,,,,Athpariya,I
,api,L,,,,Apiaká,I
,apj,L,,,,Jicarilla Apache,I
,apk,L,,,,Kiowa Apache,I
,apl,L,,,,Lipan Apache,I
,apm,L,,,,Mescalero-Chiricahua Apache,I
,apn,L,,,,Apinayé,I
,apo,L,,,,Ambul,I
,app,L,,,,Apma,I
,apq,L,,,,A-Pucikwar,I
,apr,L,,,,Arop-Lokep,I
,aps,L,,,,Arop-Sissano,I
,apt,L,,,,Apatani,I
,apu,L,,,,Apurinã,I
,apv,E,,,,Alapmunte,I
,apw,L,,,,Western Apache,I
,apx,L,,,,Aputai,I
,apy,L,,,,Apalaí,I
,apz,L,,,,Safeyoka,I
,aqc,L,,,,Archi,I
,aqd,L,,,,Ampari Dogon,I
,aqg,L,,,,Arigidi,I
,aqk,L,,,,Aninka,I
,aqm,L,,,,Atohwaim,I
,aqn,L,,,,Northern Alta,I
,aqp,E,,,,Atakapa,I
,aqr,L,,,,Arhâ,I
,aqt,L,,,,Angaité,I
,aqz,L,,,,Akuntsu,I
,ara,L,ar,ara,ara,Arabic,M
,arb,L,,,,Standard Arabic,I
,arc,H,,arc,arc,Official Aramaic (700-300 BCE),I
,ard,E,,,,Arabana,I
,are,L,,,,Western Arrarnta,I
,arg,L,an,arg,arg,Aragonese,I
,arh,L,,,,Arhuaco,I
,ari,L,,,,Arikara,I
,arj,E,,,,Arapaso,I
,ark,L,,,,Arikapú,I
,arl,L,,,,Arabela,I
,arn,L,,arn,arn,Mapudungun,I
,aro,L,,,,Araona,I
,arp,L,,arp,arp,Arapaho,I
,arq,L,,,,Algerian Arabic,I
,arr,L,,,,Karo (Brazil),I
,ars,L,,,,Najdi Arabic,I
,aru,E,,,,Aruá (Amazonas State),I
,arv,L,,,,Arbore,I
,arw,L,,arw,arw,Arawak,I
,arx,L,,,,Aruá (Rodonia State),I
,ary,L,,,,Moroccan Arabic,I
,arz,L,,,,Egyptian Arabic,I
,asa,L,,,,Asu (Tanzania),I
,asb,L,,,,Assiniboine,I
,asc,L,,,,Casuarina Coast Asmat,I
,ase,L,,,,American Sign Language,I
,asf,L,,,,Auslan,I
,asg,L,,,,Cishingini,I
,ash,E,,,,Abishira,I
,asi,L,,,,Buruwai,I
,asj,L,,,,Sari,I
,ask,L,,,,Ashkun,I
,asl,L,,,,Asilulu,I
,asm,L,as,asm,asm,Assamese,I
,asn,L,,,,Xingú Asuriní,I
,aso,L,,,,Dano,I
,asp,L,,,,Algerian Sign Language,I
,asq,L,,,,Austrian Sign Language,I
,asr,L,,,,Asuri,I
,ass,L,,,,Ipulo,I
,ast,L,,ast,ast,Asturian,I
,asu,L,,,,Tocantins Asurini,I
,asv,L,,,,Asoa,I
,asw,L,,,,Australian Aborigines Sign Language,I
,asx,L,,,,Muratayak,I
,asy,L,,,,Yaosakor Asmat,I
,asz,L,,,,As,I
,ata,L,,,,Pele-Ata,I
,atb,L,,,,Zaiwa,I
,atc,E,,,,Atsahuaca,I
,atd,L,,,,Ata Manobo,I
,ate,L,,,,Atemble,I
,atg,L,,,,Ivbie North-Okpela-Arhe,I
,ati,L,,,,Attié,I
,atj,L,,,,Atikamekw,I
,atk,L,,,,Ati,I
,atl,L,,,,Mt. Iraya Agta,I
,atm,L,,,,Ata,I
,atn,L,,,,Ashtiani,I
,ato,L,,,,Atong (Cameroon),I
,atp,L,,,,Pudtol Atta,I
,atq,L,,,,Aralle-Tabulahan,I
,atr,L,,,,Waimiri-Atroari,I
,ats,L,,,,Gros Ventre,I
,att,L,,,,Pamplona Atta,I
,atu,L,,,,Reel,I
,atv,L,,,,Northern Altai,I
,atw,L,,,,Atsugewi,I
,atx,L,,,,Arutani,I
,aty,L,,,,Aneityum,I
,atz,L,,,,Arta,I
,aua,L,,,,Asumboa,I
,aub,L,,,,Alugu,I
,auc,L,,,,Waorani,I
,aud,L,,,,Anuta,I
,aug,L,,,,Aguna,I
,auh,L,,,,Aushi,I
,aui,L,,,,Anuki,I
,auj,L,,,,Awjilah,I
,auk,L,,,,Heyo,I
,aul,L,,,,Aulua,I
,aum,L,,,,Asu (Nigeria),I
,aun,L,,,,Molmo One,I
,auo,E,,,,Auyokawa,I
,aup,L,,,,Makayam,I
,auq,L,,,,Anus,I
,aur,L,,,,Aruek,I
,aut,L,,,,Austral,I
,auu,L,,,,Auye,I
,auw,L,,,,Awyi,I
,aux,E,,,,Aurá,I
,auy,L,,,,Awiyaana,I
,auz,L,,,,Uzbeki Arabic,I
,ava,L,av,ava,ava,Avaric,I
,avb,L,,,,Avau,I
,avd,L,,,,Alviri-Vidari,I
,ave,H,ae,ave,ave,Avestan,I
,avi,L,,,,Avikam,I
,avk,C,,,,Kotava,I
,avl,L,,,,Eastern Egyptian Bedawi Arabic,I
,avm,E,,,,Angkamuthi,I
,avn,L,,,,Avatime,I
,avo,E,,,,Agavotaguerra,I
,avs,E,,,,Aushiri,I
,avt,L,,,,Au,I
,avu,L,,,,Avokaya,I
,avv,L,,,,Avá-Canoeiro,I
,awa,L,,awa,awa,Awadhi,I
,awb,L,,,,Awa (Papua New Guinea),I
,awc,L,,,,Cicipu,I
,awe,L,,,,Awetí,I
,awg,E,,,,Anguthimri,I
,awh,L,,,,Awbono,I
,awi,L,,,,Aekyom,I
,awk,E,,,,Awabakal,I
,awm,L,,,,Arawum,I
,awn,L,,,,Awngi,I
,awo,L,,,,Awak,I
,awr,L,,,,Awera,I
,aws,L,,,,South Awyu,I
,awt,L,,,,Araweté,I
,awu,L,,,,Central Awyu,I
,awv,L,,,,Jair Awyu,I
,aww,L,,,,Awun,I
,awx,L,,,,Awara,I
,awy,L,,,,Edera Awyu,I
,axb,E,,,,Abipon,I
,axe,E,,,,Ayerrerenge,I
,axg,E,,,,Mato Grosso Arára,I
,axk,L,,,,Yaka (Central African Republic),I
,axl,E,,,,Lower Southern Aranda,I
,axm,H,,,,Middle Armenian,I
,axx,L,,,,Xârâgurè,I
,aya,L,,,,Awar,I
,ayb,L,,,,Ayizo Gbe,I
,ayc,L,,,,Southern Aymara,I
,ayd,E,,,,Ayabadhu,I
,aye,L,,,,Ayere,I
,ayg,L,,,,Ginyanga,I
,ayh,L,,,,Hadrami Arabic,I
,ayi,L,,,,Leyigha,I
,ayk,L,,,,Akuku,I
,ayl,L,,,,Libyan Arabic,I
,aym,L,ay,aym,aym,Aymara,M
,ayn,L,,,,Sanaani Arabic,I
,ayo,L,,,,Ayoreo,I
,ayp,L,,,,North Mesopotamian Arabic,I
,ayq,L,,,,Ayi (Papua New Guinea),I
,ayr,L,,,,Central Aymara,I
,ays,L,,,,Sorsogon Ayta,I
,ayt,L,,,,Magbukun Ayta,I
,ayu,L,,,,Ayu,I
,ayz,L,,,,Mai Brat,I
,aza,L,,,,Azha,I
,azb,L,,,,South Azerbaijani,I
,azd,L,,,,Eastern Durango Nahuatl,I
,aze,L,az,aze,aze,Azerbaijani,M
,azg,L,,,,San Pedro Amuzgos Amuzgo,I
,azj,L,,,,North Azerbaijani,I
,azm,L,,,,Ipalapa Amuzgo,I
,azn,L,,,,Western Durango Nahuatl,I
,azo,L,,,,Awing,I
,azt,L,,,,Faire Atta,I
,azz,L,,,,Highland Puebla Nahuatl,I
,baa,L,,,,Babatana,I
,bab,L,,,,Bainouk-Gunyuño,I
,bac,L,,,,Badui,I
,bae,E,,,,Baré,I
,baf,L,,,,Nubaca,I
,bag,L,,,,Tuki,I
,bah,L,,,,Bahamas Creole English,I
,baj,L,,,,Barakai,I
,bak,L,ba,bak,bak,Bashkir,I
,bal,L,,bal,bal,Baluchi,M
,bam,L,bm,bam,bam,Bambara,I
,ban,L,,ban,ban,Balinese,I
,bao,L,,,,Waimaha,I
,bap,L,,,,Bantawa,I
,bar,L,,,,Bavarian,I
,bas,L,,bas,bas,Basa (Cameroon),I
,bau,L,,,,Bada (Nigeria),I
,bav,L,,,,Vengo,I
,baw,L,,,,Bambili-Bambui,I
,bax,L,,,,Bamun,I
,bay,L,,,,Batuley,I
,bba,L,,,,Baatonum,I
,bbb,L,,,,Barai,I
,bbc,L,,,,Batak Toba,I
,bbd,L,,,,Bau,I
,bbe,L,,,,Bangba,I
,bbf,L,,,,Baibai,I
,bbg,L,,,,Barama,I
,bbh,L,,,,Bugan,I
,bbi,L,,,,Barombi,I
,bbj,L,,,,Ghomálá',I
,bbk,L,,,,Babanki,I
,bbl,L,,,,Bats,I
,bbm,L,,,,Babango,I
,bbn,L,,,,Uneapa,I
,bbo,L,,,,Northern Bobo Madaré,I
,bbp,L,,,,West Central Banda,I
,bbq,L,,,,Bamali,I
,bbr,L,,,,Girawa,I
,bbs,L,,,,Bakpinka,I
,bbt,L,,,,Mburku,I
,bbu,L,,,,Kulung (Nigeria),I
,bbv,L,,,,Karnai,I
,bbw,L,,,,Baba,I
,bbx,L,,,,Bubia,I
,bby,L,,,,Befang,I
,bca,L,,,,Central Bai,I
,bcb,L,,,,Bainouk-Samik,I
,bcc,L,,,,Southern Balochi,I
,bcd,L,,,,North Babar,I
,bce,L,,,,Bamenyam,I
,bcf,L,,,,Bamu,I
,bcg,L,,,,Baga Pokur,I
,bch,L,,,,Bariai,I
,bci,L,,,,Baoulé,I
,bcj,L,,,,Bardi,I
,bck,L,,,,Bunuba,I
,bcl,L,,,,Central Bikol,I
,bcm,L,,,,Bannoni,I
,bcn,L,,,,Bali (Nigeria),I
,bco,L,,,,Kaluli,I
,bcp,L,,,,Bali (Democratic Republic of Congo),I
,bcq,L,,,,Bench,I
,bcr,L,,,,Babine,I
,bcs,L,,,,Kohumono,I
,bct,L,,,,Bendi,I
,bcu,L,,,,Awad Bing,I
,bcv,L,,,,Shoo-Minda-Nye,I
,bcw,L,,,,Bana,I
,bcy,L,,,,Bacama,I
,bcz,L,,,,Bainouk-Gunyaamolo,I
,bda,L,,,,Bayot,I
,bdb,L,,,,Basap,I
,bdc,L,,,,Emberá-Baudó,I
,bdd,L,,,,Bunama,I
,bde,L,,,,Bade,I
,bdf,L,,,,Biage,I
,bdg,L,,,,Bonggi,I
,bdh,L,,,,Baka (South Sudan),I
,bdi,L,,,,Burun,I
,bdj,L,,,,Bai (South Sudan),I
,bdk,L,,,,Budukh,I
,bdl,L,,,,Indonesian Bajau,I
,bdm,L,,,,Buduma,I
,bdn,L,,,,Baldemu,I
,bdo,L,,,,Morom,I
,bdp,L,,,,Bende,I
,bdq,L,,,,Bahnar,I
,bdr,L,,,,West Coast Bajau,I
,bds,L,,,,Burunge,I
,bdt,L,,,,Bokoto,I
,bdu,L,,,,Oroko,I
,bdv,L,,,,Bodo Parja,I
,bdw,L,,,,Baham,I
,bdx,L,,,,Budong-Budong,I
,bdy,L,,,,Bandjalang,I
,bdz,L,,,,Badeshi,I
,bea,L,,,,Beaver,I
,beb,L,,,,Bebele,I
,bec,L,,,,Iceve-Maci,I
,bed,L,,,,Bedoanas,I
,bee,L,,,,Byangsi,I
,bef,L,,,,Benabena,I
,beg,L,,,,Belait,I
,beh,L,,,,Biali,I
,bei,L,,,,Bekati',I
,bej,L,,bej,bej,Beja,I
,bek,L,,,,Bebeli,I
,bel,L,be,bel,bel,Belarusian,I
,bem,L,,bem,bem,Bemba (Zambia),I
,ben,L,bn,ben,ben,Bengali,I
,beo,L,,,,Beami,I
,bep,L,,,,Besoa,I
,beq,L,,,,Beembe,I
,bes,L,,,,Besme,I
,bet,L,,,,Guiberoua Béte,I
,beu,L,,,,Blagar,I
,bev,L,,,,Daloa Bété,I
,bew,L,,,,Betawi,I
,bex,L,,,,Jur Modo,I
,bey,L,,,,Beli (Papua New Guinea),I
,bez,L,,,,Bena (Tanzania),I
,bfa,L,,,,Bari,I
,bfb,L,,,,Pauri Bareli,I
,bfc,L,,,,Panyi Bai,I
,bfd,L,,,,Bafut,I
,bfe,L,,,,Betaf,I
,bff,L,,,,Bofi,I
,bfg,L,,,,Busang Kayan,I
,bfh,L,,,,Blafe,I
,bfi,L,,,,British Sign Language,I
,bfj,L,,,,Bafanji,I
,bfk,L,,,,Ban Khor Sign Language,I
,bfl,L,,,,Banda-Ndélé,I
,bfm,L,,,,Mmen,I
,bfn,L,,,,Bunak,I
,bfo,L,,,,Malba Birifor,I
,bfp,L,,,,Beba,I
,bfq,L,,,,Badaga,I
,bfr,L,,,,Bazigar,I
,bfs,L,,,,Southern Bai,I
,bft,L,,,,Balti,I
,bfu,L,,,,Gahri,I
,bfw,L,,,,Bondo,I
,bfx,L,,,,Bantayanon,I
,bfy,L,,,,Bagheli,I
,bfz,L,,,,Mahasu Pahari,I
,bga,L,,,,Gwamhi-Wuri,I
,bgb,L,,,,Bobongko,I
,bgc,L,,,,Haryanvi,I
,bgd,L,,,,Rathwi Bareli,I
,bge,L,,,,Bauria,I
,bgf,L,,,,Bangandu,I
,bgg,L,,,,Bugun,I
,bgi,L,,,,Giangan,I
,bgj,L,,,,Bangolan,I
,bgk,L,,,,Bit,I
,bgl,L,,,,Bo (Laos),I
,bgn,L,,,,Western Balochi,I
,bgo,L,,,,Baga Koga,I
,bgp,L,,,,Eastern Balochi,I
,bgq,L,,,,Bagri,I
,bgr,L,,,,Bawm Chin,I
,bgs,L,,,,Tagabawa,I
,bgt,L,,,,Bughotu,I
,bgu,L,,,,Mbongno,I
,bgv,L,,,,Warkay-Bipim,I
,bgw,L,,,,Bhatri,I
,bgx,L,,,,Balkan Gagauz Turkish,I
,bgy,L,,,,Benggoi,I
,bgz,L,,,,Banggai,I
,bha,L,,,,Bharia,I
,bhb,L,,,,Bhili,I
,bhc,L,,,,Biga,I
,bhd,L,,,,Bhadrawahi,I
,bhe,L,,,,Bhaya,I
,bhf,L,,,,Odiai,I
,bhg,L,,,,Binandere,I
,bhh,L,,,,Bukharic,I
,bhi,L,,,,Bhilali,I
,bhj,L,,,,Bahing,I
,bhl,L,,,,Bimin,I
,bhm,L,,,,Bathari,I
,bhn,L,,,,Bohtan Neo-Aramaic,I
,bho,L,,bho,bho,Bhojpuri,I
,bhp,L,,,,Bima,I
,bhq,L,,,,Tukang Besi South,I
,bhr,L,,,,Bara Malagasy,I
,bhs,L,,,,Buwal,I
,bht,L,,,,Bhattiyali,I
,bhu,L,,,,Bhunjia,I
,bhv,L,,,,Bahau,I
,bhw,L,,,,Biak,I
,bhx,L,,,,Bhalay,I
,bhy,L,,,,Bhele,I
,bhz,L,,,,Bada (Indonesia),I
,bia,L,,,,Badimaya,I
,bib,L,,,,Bissa,I
,bid,L,,,,Bidiyo,I
,bie,L,,,,Bepour,I
,bif,L,,,,Biafada,I
,big,L,,,,Biangai,I
,bik,L,,bik,bik,Bikol,M
,bil,L,,,,Bile,I
,bim,L,,,,Bimoba,I
,bin,L,,bin,bin,Bini,I
,bio,L,,,,Nai,I
,bip,L,,,,Bila,I
,biq,L,,,,Bipi,I
,bir,L,,,,Bisorio,I
,bis,L,bi,bis,bis,Bislama,I
,bit,L,,,,Berinomo,I
,biu,L,,,,Biete,I
,biv,L,,,,Southern Birifor,I
,biw,L,,,,Kol (Cameroon),I
,bix,L,,,,Bijori,I
,biy,L,,,,Birhor,I
,biz,L,,,,Baloi,I
,bja,L,,,,Budza,I
,bjb,E,,,,Banggarla,I
,bjc,L,,,,Bariji,I
,bje,L,,,,Biao-Jiao Mien,I
,bjf,L,,,,Barzani Jewish Neo-Aramaic,I
,bjg,L,,,,Bidyogo,I
,bjh,L,,,,Bahinemo,I
,bji,L,,,,Burji,I
,bjj,L,,,,Kanauji,I
,bjk,L,,,,Barok,I
,bjl,L,,,,Bulu (Papua New Guinea),I
,bjm,L,,,,Bajelani,I
,bjn,L,,,,Banjar,I
,bjo,L,,,,Mid-Southern Banda,I
,bjp,L,,,,Fanamaket,I
,bjr,L,,,,Binumarien,I
,bjs,L,,,,Bajan,I
,bjt,L,,,,Balanta-Ganja,I
,bju,L,,,,Busuu,I
,bjv,L,,,,Bedjond,I
,bjw,L,,,,Bakwé,I
,bjx,L,,,,Banao Itneg,I
,bjy,E,,,,Bayali,I
,bjz,L,,,,Baruga,I
,bka,L,,,,Kyak,I
,bkc,L,,,,Baka (Cameroon),I
,bkd,L,,,,Binukid,I
,bkf,L,,,,Beeke,I
,bkg,L,,,,Buraka,I
,bkh,L,,,,Bakoko,I
,bki,L,,,,Baki,I
,bkj,L,,,,Pande,I
,bkk,L,,,,Brokskat,I
,bkl,L,,,,Berik,I
,bkm,L,,,,Kom (Cameroon),I
,bkn,L,,,,Bukitan,I
,bko,L,,,,Kwa',I
